장르,노래제목,가수
인디음악,잊기가 참 힘이 드나봐 (Feat. 밈 (mim)),어반폴리
락,You've Got Me Wrong,더 베인
락,HIGHWAY,CHS
락,Mayday!,소동 (Sodong)
락,최초의 마지막 새벽,백종현
락,상상,다다 (DaDA)
락,오늘 하루쯤은,신다희
락,Photograph,Project P
락,Shine,ZIN
락,Stay,AkashicEgo (아카식에고)
락,DIARY,before you sleep (비포유슬립)
락,작은 방,야수파 (YASUFA)
락,삼킨말들,옴 (omm..)
락,피융!,IDLER(아이들러)
락,New Plant,The Volunteers (더 발룬티어스)
락,Stay Awake,남영주
락,사각사각 (Vocal by 금창),주간믹스테이프 프로젝트
락,FREE,헤이마 (HEIMA)
락,Astronaut,Pentium Kids (펜티엄 키즈)
락,바다가 되어주세요,온시 (on_poem)
락,방울방울,박정웅
락,교차로 블루스,거친참치들
락,바나나 먹고싶다,육중완밴드
락,잊기가 참 힘이 드나봐 (Feat. 밈 (mim)),어반폴리
락,You and Me,썬로우 (Sunn-Row)
락,Stormbreaker,드로리안 (Delorean)
락,가재 스위밍,9bo (구보)
락,도화선,ian choi (이안 초이)
락,Lifeline,ROOT/J (루트제이)
락,I CAN`T LIVE WITHOUT YOU I REALLY CAN`T,HAEXSO
락,LOOK AT YOU!,잔나비
락,Losing Myself,Gogang (고갱)
락,Love Scene,ANDOR (앤드오어)
락,하루,2Pills
락,Fuck Off! (Prod. IDEAL),MOONRVCER
락,RIDING,RAWRIDER (라우라이더)
락,나와 같은 바다,Holland
락,말하지 않는 노래,Proto
락,콧구멍,내적친분느끼는 중장년 쉽땡끼들
락,Dawn In The Fog,3oz
락,Guilty Pleasure,SEOMINGYU(서민규)
락,Love So Amazing,고스락 K (Gosrak K)
락,Stars(feat.George),woosi
락,Summer is Yours!,영원희 (Young Wonhee)
락,이주민의 바다,이정인
락,Re: Florescence (Punishing: Gray Raven 1st Anniversary),Raon
락,낭만 도시,신사빈
락,(What is) Love?,JSB
락,반대,박태원
락,Travel,김재준
락,모두 다 사랑하리,수호 (SUHO)
트로트,돌아와요 부산항에,조항조
트로트,잘났어 정말 (Cover Ver.),안남숙
트로트,일어서렵니다,우정복
트로트,그리움이 그리워질 때,김영이
트로트,요기요기요,조예빈
트로트,단심이 (cover.ver),이원자
트로트,바램 (cover.ver),이외순
트로트,대동강편지 (Cover Ver.),송웅근
트로트,남자의 마음,금오성
트로트,님이 좋아,이수진
트로트,KPGA 응원가,전미경
트로트,바다가육지라면 (Cover Ver.),박인범
트로트,가슴에 묻은 사랑,박대성
트로트,야속한 님아,김화랑
트로트,도련님 (Cover Ver.),백순희
트로트,언약,김희
트로트,내인생의 초록불,박회장
트로트,님바라기,구하늘
트로트,당신만을 사랑합니다,신나유
트로트,모두가 한때더라,김훈아
트로트,사랑없인 못 살아요 (Cover Ver.),김둘레
트로트,아가야,김향순
트로트,흔들지마,천예성
트로트,텅,신안산
트로트,외로운 독도,홍도
트로트,소리도,보배
